COD_NUTS;Designacao;Preco_m2_4T2024;Salario_Minimo_2024;Salario_Medio_Nacional_2024;Racio_Salario_Minimo_por_m2;Racio_Salario_Medio_por_m2
1A01106;Lisboa;3498.0;820.0;1600.0;4.27;2.19
1A01105;Cascais;3170.0;820.0;1600.0;3.87;1.98
1A01110;Oeiras;2895.0;820.0;1600.0;3.53;1.81
1500807;Lagos;2746.0;820.0;1600.0;3.35;1.72
1500801;Albufeira;2354.0;820.0;1600.0;2.87;1.47
1A01116;Odivelas;2327.0;820.0;1600.0;2.84;1.45
1500808;Loulé;2311.0;820.0;1600.0;2.82;1.44
1500815;Vila do Bispo;2303.0;820.0;1600.0;2.81;1.44
1500814;Tavira;2299.0;820.0;1600.0;2.8;1.44
1500803;Aljezur;2282.0;820.0;1600.0;2.78;1.43
11A1312;Porto;2204.0;820.0;1600.0;2.69;1.38
1B01503;Almada;2144.0;820.0;1600.0;2.61;1.34
1A01115;Amadora;2101.0;820.0;1600.0;2.56;1.31
150;Algarve;2046.0;820.0;1600.0;2.5;1.28
15;Algarve;2046.0;820.0;1600.0;2.5;1.28
1A01107;Loures;2038.0;820.0;1600.0;2.49;1.27
1500811;Portimão;2032.0;820.0;1600.0;2.48;1.27
3003103;Funchal;2029.0;820.0;1600.0;2.47;1.27
11A1308;Matosinhos;1994.0;820.0;1600.0;2.43;1.25
1500806;Lagoa;1961.0;820.0;1600.0;2.39;1.23
1500805;Faro;1926.0;820.0;1600.0;2.35;1.2
1500816;Vila Real de Santo António;1916.0;820.0;1600.0;2.34;1.2
1B01511;Sesimbra;1896.0;820.0;1600.0;2.31;1.18
1A01111;Sintra;1882.0;820.0;1600.0;2.3;1.18
1A01109;Mafra;1881.0;820.0;1600.0;2.29;1.18
1B01510;Seixal;1832.0;820.0;1600.0;2.23;1.14
11A0107;Espinho;1780.0;820.0;1600.0;2.17;1.11
1A01114;Vila Franca de Xira;1748.0;820.0;1600.0;2.13;1.09
1500810;Olhão;1747.0;820.0;1600.0;2.13;1.09
1B0;Península de Setúbal;1713.0;820.0;1600.0;2.09;1.07
1B;Península de Setúbal;1713.0;820.0;1600.0;2.09;1.07
1B01502;Alcochete;1697.0;820.0;1600.0;2.07;1.06
1D11011;Nazaré;1670.0;820.0;1600.0;2.04;1.04
1B01512;Setúbal;1674.0;820.0;1600.0;2.04;1.05
1C11513;Sines;1668.0;820.0;1600.0;2.03;1.04
11A1306;Maia;1667.0;820.0;1600.0;2.03;1.04
1500813;Silves;1664.0;820.0;1600.0;2.03;1.04
11A1317;Vila Nova de Gaia;1650.0;820.0;1600.0;2.01;1.03
1B01504;Barreiro;1611.0;820.0;1600.0;1.96;1.01
1B01507;Montijo;1599.0;820.0;1600.0;1.95;1.0
3003108;Santa Cruz;1567.0;820.0;1600.0;1.91;0.98
1B01508;Palmela;1556.0;820.0;1600.0;1.9;0.97
11A1315;Valongo;1470.0;820.0;1600.0;1.79;0.92
11A1316;Vila do Conde;1439.0;820.0;1600.0;1.75;0.9
11A1313;Póvoa de Varzim;1430.0;820.0;1600.0;1.74;0.89
11A;Área Metropolitana do Porto;1418.0;820.0;1600.0;1.73;0.89
11A1304;Gondomar;1411.0;820.0;1600.0;1.72;0.88
