Índice,,,,,,,,,,,,,,,,,,,,,,,,,,Unidade: €,,,,,,,,,,,,,,,,,,,,,,,,,,Unidade: €,,,,,,,,,,,,,,,,,,,,,,,,,,Unidade: €
COD (NUTS2024),Designação,1º Quartil das vendas por m² de alojamentos familiares nos últimos 12 meses,,,,,,,,,,,,,,,,,,,,,,,,,,Valor mediano das vendas por m² de alojamentos familiares nos últimos 12 meses,,,,,,,,,,,,,,,,,,,,,,,,,,3º Quartil das vendas por m² de alojamentos familiares nos últimos 12 meses,,,,,,,,,,,,,,,,,,,,,,,,
,,4ºT 2025,3ºT2025,2ºT2025,1ºT2025,4ºT 2024,3ºT2024,2ºT2024,1ºT2024,4ºT 2023,3ºT2023,2ºT2023,1ºT2023,4ºT 2022,3ºT 2022,2ºT2022,1ºT 2022,4ºT 2021,3ºT 2021,2ºT 2021,1ºT 2021,4ºT 2020,3ºT 2020,2ºT 2020,1ºT 2020,4ºT 2019,,4ºT 2025,3ºT2025,2ºT2025,1ºT2025,4ºT 2024,3ºT2024,2ºT2024,1ºT2024,4ºT 2023,3ºT2023,2ºT2023,1ºT2023,4ºT 2022,3ºT 2022,2ºT2022,1ºT 2022,4ºT 2021,3ºT 2021,2ºT 2021,1ºT 2021,4ºT 2020,3ºT 2020,2ºT 2020,1ºT 2020,4ºT 2019,,4ºT 2025,3ºT2025,2ºT2025,1ºT2025,4ºT 2024,3ºT2024,2ºT2024,1ºT2024,4ºT 2023,3ºT2023,2ºT2023,1ºT2023,4ºT 2022,3ºT 2022,2ºT2022,1ºT 2022,4ºT 2021,3ºT 2021,2ºT 2021,1ºT 2021,4ºT 2020,3ºT 2020,2ºT 2020,1ºT 2020,4ºT 2019
PT,Portugal,1 196,1 149,1 115,1 066,1 008,972,948,939,938,923,912,909,906,893,871,841,819,800,783,781,784,771,763,753,734,,2 076,1 991,1 923,1 845,1 777,1 709,1 661,1 633,1 611,1 579,1 541,1 509,1 484,1 446,1 402,1 346,1 297,1 251,1 218,1 197,1 190,1 167,1 146,1 127,1 094,,3 051,2 933,2 828,2 724,2 639,2 552,2 500,2 472,2 447,2 400,2 333,2 274,2 219,2 159,2 083,2 000,1 924,1 853,1 801,1 763,1 754,1 724,1 699,1 681,1 639
1,Continente,1 200,1 154,1 120,1 069,1 013,975,951,942,941,926,915,912,909,896,875,845,822,803,785,783,787,773,767,757,737,,2 083,1 996,1 925,1 846,1 778,1 714,1 667,1 638,1 618,1 587,1 550,1 519,1 492,1 453,1 408,1 351,1 301,1 257,1 222,1 200,1 195,1 169,1 150,1 131,1 096,,3 058,2 934,2 824,2 718,2 633,2 555,2 508,2 479,2 456,2 409,2 346,2 288,2 232,2 172,2 096,2 010,1 934,1 864,1 812,1 771,1 763,1 733,1 708,1 692,1 650
11,Norte,1 146,1 103,1 067,1 011,962,921,902,892,889,878,864,860,859,840,820,794,771,758,745,743,737,717,704,694,676,,1 825,1 750,1 694,1 621,1 558,1 492,1 449,1 417,1 394,1 367,1 331,1 304,1 282,1 250,1 208,1 169,1 133,1 108,1 079,1 065,1 047,1 019,1 000,977,948,,2 559,2 458,2 378,2 289,2 216,2 139,2 093,2 045,2 000,1 968,1 896,1 835,1 793,1 740,1 675,1 621,1 574,1 525,1 488,1 458,1 423,1 382,1 351,1 329,1 289
111,Alto Minho,819,786,762,744,698,690,677,660,654,629,632,641,651,640,633,597,588,588,566,582,588,574,586,582,566,,1 401,1 365,1 345,1 313,1 248,1 193,1 158,1 124,1 108,1 091,1 077,1 073,1 064,1 035,1 012,972,945,925,895,893,891,870,865,853,846,,1 964,1 877,1 861,1 828,1 761,1 711,1 649,1 582,1 542,1 508,1 489,1 460,1 442,1 400,1 363,1 319,1 288,1 250,1 205,1 200,1 183,1 162,1 151,1 125,1 113
1111601,Arcos de Valdevez,385,392,401,417,401,404,417,397,408,390,380,385,400,358,357,289,273,276,286,357,380,398,417,390,310,,943,913,966,960,958,1 000,998,828,813,766,754,760,778,766,763,690,635,680,705,740,794,711,726,693,672,,1 513,1 509,1 571,1 538,1 544,1 610,1 581,1 448,1 426,1 375,1 270,1 271,1 256,1 163,1 141,1 083,1 012,1 048,1 000,1 035,1 081,1 035,1 029,975,961
1111602,Caminha,1 083,1 076,1 120,1 120,1 000,955,896,865,892,934,851,779,765,745,765,762,747,717,676,671,676,680,717,733,739,,1 606,1 544,1 490,1 461,1 425,1 415,1 334,1 364,1 318,1 298,1 280,1 201,1 201,1 182,1 174,1 158,1 111,1 071,1 000,1 000,978,964,938,946,967,,2 122,2 059,1 975,1 934,1 856,1 803,1 802,1 786,1 750,1 719,1 635,1 574,1 582,1 500,1 496,1 494,1 443,1 429,1 365,1 330,1 278,1 302,1 250,1 234,1 238
1111603,Melgaço,350,259,232,252,212,250,218,203,200,193,202,223,229,233,233,213,203,206,195,203,241,200,213,220,231,,710,530,475,475,400,422,422,388,404,420,400,428,359,352,394,400,362,381,332,337,426,399,515,554,545,,1 151,1 042,938,891,777,786,774,747,733,747,724,740,715,747,833,857,870,852,697,663,667,640,685,774,755
1111604,Monção,688,594,680,692,655,722,610,489,469,450,469,506,536,521,476,443,408,469,480,486,500,429,408,271,333,,1 200,1 138,1 224,1 244,1 205,1 244,1 081,918,910,843,895,936,967,957,812,794,755,773,779,810,794,672,655,606,658,,1 681,1 625,1 624,1 667,1 633,1 702,1 690,1 425,1 345,1 218,1 241,1 228,1 192,1 169,1 080,1 049,990,1 040,1 078,1 111,1 069,931,895,861,965
1111605,Paredes de Coura,444,349,363,442,381,471,460,400,400,364,367,363,372,380,366,360,343,308,294,269,269,269,269,291,293,,842,777,752,770,708,743,722,753,723,600,645,565,587,663,646,654,652,594,531,511,509,479,479,500,513,,1 331,1 290,1 214,1 214,1 185,1 181,1 188,1 123,1 189,1 020,988,950,955,992,964,976,931,886,763,716,763,725,725,756,756
1111606,Ponte da Barca,580,556,488,450,556,564,366,367,325,400,517,463,472,421,395,342,321,267,275,339,402,435,417,392,347,,1 173,1 123,1 019,980,952,917,865,796,759,792,868,896,915,833,772,714,623,625,619,654,674,642,613,563,565,,1 555,1 504,1 396,1 333,1 277,1 200,1 192,1 166,1 104,1 168,1 166,1 160,1 139,1 099,1 065,1 042,925,925,864,864,930,920,878,859,851
